Security_Code,Security_Id,Security_Name
531335,ZYDUSWELL,ZYDUS WELLNESS
500780,ZUARIGLOB,ZUARI GLOBAL
534742,ZUARI,ZUARI AGRO CHEMICALS
512587,ZODJRDMKJ,ZODIACJRDMKJ
503641,ZODIACVEN,Zodiac Ventures 
521163,ZODIACLOTH,ZODIAC CLOTHING CO
541400,ZIMLAB,Zim Laboratories 
531404,ZICOM,ZICOM ELECTRONIC SECURITY SYSTEMS
505163,ZFSTEERING,ZFSTEERING GEAR INDIA
504067,ZENSARTECH,ZENSAR TECHNOLOGIES
532039,ZENOTECH,ZENOTECH LABORATORIES
530697,ZENLABS,Zenlabs Ethica 
531845,ZENITHSTL,Zenith Steel Pipes Industries 
530665,ZENITHHE,ZENITH HEALTH CARE
514266,ZENIFIB,ZENITH FIBRES
512553,ZENITHEXPO,ZENITH EXPORTS
533339,ZENTEC,ZEN TECHNOLOGIES
532794,ZEEMEDIA,Zee Media Corporation 
533287,ZEELEARN,ZEE LEARN
505537,ZEEL,ZEE ENTERTAINMENT ENTERPRISES
539963,ZEAL,Zeal Aqua 
536846,YURANUS,Yuranus Infrastructure 
522108,YUKEN,YUKEN INDIA
540550,YUG,Yug Decor 
530675,YORKEXP,YORK EXPORTS
522209,YOGISUNG,YOGI SUNGWON INDIA
532648,YESBANK,YES BANK
530063,YASHRAJC,YASHRAJ CONTAINEURS
541167,YASHO,Yasho Industries 
512345,YASTF,YASH TRADING FINANCE
516030,YASHPAKKA,Yash Pakka 
511601,YASHMGM,YASH MANAGEMENT SATELLITE
539939,YASHCHEM,Yash Chemex 
514378,YARNSYN,YARN SYNDICATE
511012,YAMNINV,YAMINI INVESTMENTS COMPANY
533520,YAARII,Yaarii Digital Integrated Services 
531225,XTGLOBAL,Xtglobal Infotech 
590013,XPROINDIA,XPRO INDIA
542367,XELPMOC,Xelpmoc Design and Tech 
532616,XCHANGING,XCHANGING SOLUTIONS
504220,WSIND,WSINDUSTRIES INDIA
505872,WPIL,WPIL
538451,WORTH,Worth Investment Trading Co 
526525,WWALUM,Worldwide Aluminium 
526959,WOODSVILA,WOODSVILLA
538268,WONDERLA,Wonderla Holidays 
531396,WOMENNET,WOMEN NETWORKS
532300,WOCKPHARMA,WOCKHARDT
507817,WIREFABR,WIRES FABRIKS SA
507685,WIPRO,WIPRO
514470,WINSOMTX,WINSOME TEXTILE INDUSTRIES
526471,WINSOMBR,WINSOME BREWERIES
512022,WINROC,WINRO COMMERCIAL INDIA
522029,WINDMACHIN,WINDSOR MACHINES
526586,WIMPLAST,WIM PLAST
519224,WILLAMAGOR,WILLIAMSON MAGOR COMPANY
519214,WILLIMFI,WILLIAMSON FINANCIAL SERVICES
542667,WORL,White Organic Retail 
513713,WHITEORG,White Organic Agro 
500238,WHIRLPOOL,WHIRLPOOL OF INDIA
590073,WHEELS,WHEELS INDIA
501391,WHBRADY,WHBRADY CO
505533,WESTLIFE,WESTLIFE DEVELOPMENT
504998,WMINIMT,WESTERN MINISTIL
538382,WESTLEIRES,West Leisure Resorts 
500444,WSTCSTPAPR,WEST COAST PAPER MILLS
532373,WEPSOLN,WEP SOLUTIONS
505412,WENDT,WENDT INDIA
526431,WELTI,WELTERMAN INTERNATIONAL
500365,WELSPLSOL,Welspun Specialty Solutions 
533252,WELINV,WELSPUN INVESTMENTS AND COMMERCIALS
514162,WELSPUNIND,WELSPUN INDIA
532553,WELENT,Welspun Enterprises 
532144,WELCORP,Welspun Corp 
531211,WELLNESS,WELLNESS NONI
532016,WELLESLEY,WELLESLEY CORPORATION
504988,ZWELCAST,WELCAST STEELS
511074,WEIZFIN,WEIZMANN FINCORP
523011,WEIZMANIND,WEIZMANN
517498,WEBELSOLAR,WEBSOL ENERGY SYSTEM
780016,WEBSL,Web Element Solutions 
523660,WATERBASE,WATERBASE
508494,WARRENTEA,WARREN TEA
538970,WARDINMOBI,Wardwizard Innovations Mobility 
524212,WANBURY,WANBURY
532053,WALLFORT,WALLFORT FINANCIAL SERVICES
511147,WSFIN,WALL STREET FINANCE
507410,WALCHANNAG,WALCHANDNAGAR INDUSTRIES
501370,WALCHPF,WALCHAND PEOPLEFIRST
503675,WAGEND,Wagend Infra Venture 
533023,WABCOINDIA,WABCO INDIA
539337,WAAREE,Waaree Technologies 
541445,WAA,Waa Solar 
505583,WWTECHHOL,W W TECHNOLOGY HOLDINGS
517399,VXLINSTR,VXL INSTRUMENTS
532893,VTMLTD,VTM
531266,VSTTILLERS,VSTTILLERS TRACTORS
509966,VSTIND,VST INDUSTRIES
519331,VSFPROJ,VSF PROJECTS
539118,VRLLOG,VRL Logistics 
500575,VOLTAS,VOLTAS
532757,VOLTAMP,VOLTAMP TRANSFORMERS
509038,VOLLF,VOLTAIRE LEASING FINANCE
522122,VOITHPAPR,VOITH PAPER FABRICS INDIA
532822,IDEA,Vodafone Idea 
539222,VMV,VMV Holidays 
533427,VMS,VMS INDUSTRIES
534976,VMART,VMART RETAIL
511333,VLSFINANCE,VLS FINANCE
509026,VJTFEDU,VJTF EDUSERVICES
511509,VIVOBIOT,VIVO BIO TECH
532660,VIVIMEDLAB,VIVIMED LABS
542046,VIVIDM,Vivid Mercantile 
524576,VIVIDIND,VIVID GLOBAL INDUSTRIES
530057,VIVANZA,Vivanza Biosciences 
541735,VIVANTA,Vivanta Industries 
540823,VITESSE,Vitesse Agro 
538565,VISTARAMAR,Vistar Amar 
524711,VISTAPH,VISTA PHARMACEUTICALS
531668,VISIONCO,VISION CORPORATION
526441,VISIONCINE,VISION CINEMAS
542852,VISHWARAJ,Vishwaraj Sugar Industries 
512064,VISVEN,Vishvprabha Ventures 
516072,VISHNU,VISHNU CHEMICALS
538598,VISHAL,Vishal Fabrics 
539398,VISHALBL,Vishal Bearings 
540097,VISCO,Visco Trade Associates 
509055,VISAKAIND,VISAKA INDUSTRIES
506146,VIVIDHA,VISAGAR POLYTEX
531025,VISAGAR,VISAGAR FINANCIAL SERVICES
532721,VISASTEEL,VISA STEEL
531126,VIRTUALS,VIRTUALSOFT SYSTEMS
532372,VIRINCHI,Virinchi 
530521,VIRAT,VIRAT INDUSTRIES
519457,VIRATCRA,VIRAT CRANE INDUSTRIES
530627,VIPULORG,Vipul Organics 
511726,VIPUL,VIPUL
514302,VIPPYSP,VIPPY SPINPRO
507880,VIPIND,VIPINDUSTRIES
532613,VIPCLOTHNG,VIP Clothing 
530401,VINYOFL,VINYOFLEX
524129,VINYLINDIA,VINYL CHEMICALS INDIA
517393,VINTRON,VINTRON INFORMATICS
531051,VINTAGES,VINTAGE SECURITIES
517015,VINDHYATEL,VINDHYA TELELINKS
534639,VINAYAKPOL,VINAYAK POLYCON INTERNATIONAL
524200,VINATIORGA,VINATI ORGANICS
524394,VIMTALABS,VIMTA LABS
506196,VIKSHEN,VIKSIT ENGINEERING
530477,VIKRAMTH,VIKRAM THERMO INDIA
519307,VIKASWSP,VIKAS WSP
531518,VIKASPROP,Vikas Proppant Granite 
542655,VIKASMCORP,Vikas Multicorp 
530961,VIKASECO,Vikas EcoTech 
531334,VIKALPS,VIKALP SECURITIES
537820,VFL,Viji Finance 
530151,VIJAYTX,VIJAY TEXTILES
531069,VIJSOLX,VIJAY SOLVEX
539659,VIDLI,Vidli Restaurants 
531717,VIDHIING,Vidhi Specialty Food Ingredients 
511389,VIDEOIND,VIDEOCON INDUSTRIES
531234,VICTORYPP,VICTORY PAPER BOARDS INDIA
503349,VICTMILL,VICTORIA MILLS
523796,VICEROY,VICEROY HOTELS
538732,VGCL,Vibrant Global Capital 
537524,VIAANINDUS,Viaan Industries 
532953,VGUARD,VGUARD INDUSTRIES
539331,VETO,Veto Switchgears and Cables 
520113,VESUVIUS,VESUVIUS INDIA
531950,VERTEX,VERTEX SECURITIES
512229,VERITAS,VERITAS INDIA
526953,VENUSREM,VENUS REMEDIES
516098,VENTURA,VENTURA TEXTILES
512060,SHYAM,VENTURA GUARANTY
524038,VENLONENT,VENLON ENTERPRISES
523261,VENKYS,VENKY39S INDIA
505232,VELJAN,Veljan Denison 
526755,VELHO,VELAN HOTELS
539132,VEGETABLE,Vegetable Products 
511523,VEERHEALTH,Veerhealth Care 
540252,VSL,Veeram Securities 
543241,VGIL,Veer Global Infraconstruction 
503657,VEERENRGY,VEER ENERGY INFRASTRUCTURE
522267,VJLAXMIE,VEEJAY LAKSHMI ENGINEERING WORKS
533056,VEDAVAAG,VEDAVAAG SYSTEMS
500295,VEDL,Vedanta 
536672,VCU,VCU Data Management 
511493,VCKCAP,VCK CAPITAL MARKET SERVICES
511110,VBDESAI,VBDESAI FINANCIAL SERVICES
513005,VBCFERROQ,VBC FERRO ALLOYS
533576,VASWANI,VASWANI INDUSTRIES
538634,VRL,Vasundhara Rasayans 
533156,VASCONEQ,Vascon Engineers 
531574,VASINFRA,VAS INFRASTRUCTURE
512511,VARUNME,VARUN MERCANTILE
540180,VBL,Varun Beverages 
541578,VARROC,Varroc Engineering 
540570,VARIMAN,Variman Global Enterprises 
502986,VTL,VARDHMAN TEXTILES
534392,VSSL,VARDHMAN SPECIAL STEELS
514175,VARDMNPOLY,VARDHMAN POLYTEX
500439,VHL,VARDHMAN HOLDINGS
531444,VARDHMAN,Vardhman Concrete 
542931,VARDHANCFL,Vardhan Capital Finance 
502589,VAPIPPR,VAPI PAPER MILLS
540729,VANTABIO,Vanta Bioscience 
538918,VANICOM,Vani Commercials 
532090,VANDANA,VANDANA KNITWEAR
530369,VAMSHIRU,VAMSHI RUBBER
512175,VAMA,VAMA INDUSTRIES
530459,VALSONQ,VALSON INDUSTRIES
539543,VALLEY,Valley Magnesite Company 
513397,VALLABHSQ,VALLABH STEELS
540145,VALIANTORG,Valiant Organics 
526775,VALIANT,VALIANT COMMUNICATIONS
539402,VAL,Vaksons Automobiles 
511431,VAKRANGEE,Vakrangee 
532156,VAIBHAVGBL,Vaibhav Global 
531676,VAGHANI,VAGHANI TECHNOBUILD
519156,VADILALIND,VADILAL INDUSTRIES
519152,VADILENT,VADILAL ENTERPRISES
532320,VAARAD,Vaarad Ventures 
533269,WABAG,VA TECH WABAG
532867,V2RETAIL,V2 RETAIL
523888,VRWODAR,V R WOODART
542654,VRFILMS,V R Films Studios 
532729,UTTAMSUGAR,UTTAM SUGAR MILLS
513216,UTTAMSTL,UTTAM GALVA STEELS
500426,UTLINDS,UTL Industries 
500014,UTIQUE,Utique Enterprises 
542513,UTISXN50,UTI SP BSE Sensex Next 50 ETF
539312,UTISENSETF,UTI SENSEX ETF
540669,UTINEXT50,UTI Nifty Next 50 ETF
539313,UTINIFTETF,UTI NIFTY ETF
543226,UTIBANKETF,UTI Bank Exchange Traded Fund UTI Bank ETF
543238,UTIAMC,UTI Asset Management Company 
511736,USHDI,USHDEV INTERNATIONAL
511507,USHAKIRA,USHAKIRAN FINANCE
532398,UMESLTD,Usha Martin Education Solutions 
517146,USHAMART,USHA MARTIN
532402,USGTECH,USG TECH SOLUTIONS
526987,URJAGLOBA,URJA GLOBAL
531390,UPSURGE,UPSURGE INVESTMENT FINANCE
512070,UPL,UPL 
511764,UPASAFN,UPASANA FINANCE
