Symbol,Trade Date,Exchange,Segment,Series,Trade Type,Quantity,Price,Trade ID,Order ID,Order Execution Time,user_id,dataset_id
AARTIDRUGS,27-07-2020,BSE,EQ,B,buy,1,1774.75,1223300,1.60E+18,2020-07-27T10:12:46,1,1
AARTIDRUGS,27-07-2020,BSE,EQ,B,buy,3,1775.1,1223500,1.60E+18,2020-07-27T10:12:46,1,1
AARTIDRUGS,06-08-2020,NSE,EQ,EQ,sell,4,2001,586130,1.00E+15,2020-08-06T09:43:24,1,1
ADANIGAS,24-06-2020,NSE,EQ,EQ,sell,20,154.45,4299719,1.00E+15,2020-06-24T13:21:56,1,1
ADANIGAS,22-06-2020,NSE,EQ,EQ,buy,20,147.2,462755,1.00E+15,2020-06-22T09:23:55,1,1
ADVENZYMES,04-08-2020,BSE,EQ,A,sell,10,207.75,5718900,1.60E+18,2020-08-04T13:23:29,1,1
ADVENZYMES,03-08-2020,BSE,EQ,A,buy,10,201.4,3689900,1.60E+18,2020-08-03T12:38:57,1,1
ALEMBICLTD,04-08-2020,BSE,EQ,B,sell,50,87.05,3286500,1.60E+18,2020-08-04T14:36:42,1,1
ALEMBICLTD,04-08-2020,BSE,EQ,B,buy,50,86.9,918200,1.60E+18,2020-08-04T10:13:58,1,1
AMARAJABAT,25-08-2020,BSE,EQ,A,buy,1,741.3,3186800,1.60E+18,2020-08-25T14:44:30,1,1
AMARAJABAT,28-08-2020,NSE,EQ,EQ,buy,1,750.9,485021,1.00E+15,2020-08-28T09:29:33,1,1
AMARAJABAT,25-08-2020,BSE,EQ,A,buy,1,741.3,3179400,1.60E+18,2020-08-25T14:44:16,1,1
AMARAJABAT,16-09-2020,BSE,EQ,A,sell,8,775.35,360900,1.60E+18,2020-09-16T09:29:56,1,1
AMARAJABAT,20-08-2020,BSE,EQ,A,buy,5,733.5,798700,1.60E+18,2020-08-20T09:48:57,1,1
AMARAJABAT,27-10-2020,BSE,EQ,A,buy,5,768.35,2566200,1.60E+18,2020-10-27T12:49:06,1,1
AMARAJABAT,10-12-2020,NSE,EQ,EQ,sell,5,930.85,966113,1.00E+15,2020-12-10T09:52:38,1,1
AMNPLST-X,24-07-2020,BSE,EQ,X,buy,80,47.8,4952500,1.60E+18,2020-07-24T12:32:20,1,1
AMNPLST-X,13-08-2020,BSE,EQ,X,sell,79,50.5,10204400,1.60E+18,2020-08-13T14:20:45,1,1
AMNPLST-X,13-08-2020,BSE,EQ,X,sell,1,50.7,10201800,1.60E+18,2020-08-13T14:20:36,1,1
ANDHRSUGAR,28-07-2020,BSE,EQ,B,buy,6,309.7,1350200,1.60E+18,2020-07-28T12:31:06,1,1
ANDHRSUGAR,30-07-2020,BSE,EQ,B,sell,6,335.3,177200,1.60E+18,2020-07-30T09:41:32,1,1
APLLTD,06-08-2020,BSE,EQ,A,sell,4,1013.25,10776600,1.60E+18,2020-08-06T14:17:33,1,1
APLLTD,06-08-2020,BSE,EQ,A,sell,1,1013.15,10776800,1.60E+18,2020-08-06T14:17:33,1,1
APLLTD,27-07-2020,BSE,EQ,A,buy,5,965.5,12258000,1.60E+18,2020-07-27T14:43:02,1,1
APOLLOHOSP,11-12-2020,NSE,EQ,EQ,buy,1,2357,2941382,1.00E+15,2020-12-11T13:25:02,1,1
APOLLOHOSP,22-10-2020,BSE,EQ,A,buy,1,2112.05,3800100,1.60E+18,2020-10-22T14:53:10,1,1
APOLLOHOSP,22-10-2020,BSE,EQ,A,buy,1,2112.15,3800300,1.60E+18,2020-10-22T14:53:10,1,1
APOLLOHOSP,30-07-2020,BSE,EQ,A,buy,2,1689,597400,1.60E+18,2020-07-30T09:50:12,1,1
APOLLOHOSP,30-07-2020,BSE,EQ,A,buy,3,1677.8,481300,1.60E+18,2020-07-30T09:40:01,1,1
APOLLOHOSP,30-07-2020,BSE,EQ,A,sell,5,1704.5,1786900,1.60E+18,2020-07-30T12:41:05,1,1
APOLLOTYRE,03-06-2020,NSE,EQ,EQ,buy,81,107.6,1820459,1.00E+15,2020-06-03T10:23:46,1,1
APOLLOTYRE,03-06-2020,NSE,EQ,EQ,buy,1,108.95,3683517,1.00E+15,2020-06-03T13:13:53,1,1
APOLLOTYRE,03-06-2020,NSE,EQ,EQ,buy,19,108.95,3683518,1.00E+15,2020-06-03T13:13:53,1,1
APOLLOTYRE,22-06-2020,NSE,EQ,EQ,sell,127,111,2776041,1.00E+15,2020-06-22T11:32:40,1,1
APOLLOTYRE,22-06-2020,NSE,EQ,EQ,sell,22,111,2776039,1.00E+15,2020-06-22T11:32:40,1,1
APOLLOTYRE,05-06-2020,NSE,EQ,EQ,buy,20,103,2170928,1.00E+15,2020-06-05T11:23:34,1,1
APOLLOTYRE,20-04-2020,NSE,EQ,EQ,buy,10,100.2,759651,1.00E+15,2020-04-20T09:42:19,1,1
APOLLOTYRE,14-08-2020,BSE,EQ,A,sell,33,129,5608500,1.60E+18,2020-08-14T14:20:39,1,1
APOLLOTYRE,06-08-2020,NSE,EQ,EQ,buy,2,113.5,861344,1.00E+15,2020-08-06T10:04:42,1,1
APOLLOTYRE,06-08-2020,NSE,EQ,EQ,buy,1,113.6,863289,1.00E+15,2020-08-06T10:04:54,1,1
APOLLOTYRE,05-08-2020,BSE,EQ,A,buy,30,116.75,4175500,1.60E+18,2020-08-05T11:55:47,1,1
APOLLOTYRE,10-12-2020,BSE,EQ,A,sell,30,183.15,1714000,1.61E+18,2020-12-10T09:52:29,1,1
APOLLOTYRE,23-10-2020,BSE,EQ,A,buy,30,144.55,1278200,1.60E+18,2020-10-23T09:43:55,1,1
APOLLOTYRE,03-06-2020,NSE,EQ,EQ,buy,19,107.6,1820458,1.00E+15,2020-06-03T10:23:46,1,1
APOLLOTYRE,22-06-2020,NSE,EQ,EQ,sell,1,111,2776040,1.00E+15,2020-06-22T11:32:40,1,1
APTECHT,15-07-2020,BSE,EQ,B,buy,20,111.5,1264200,1.59E+18,2020-07-15T09:34:42,1,1
APTECHT,15-07-2020,BSE,EQ,B,sell,20,111,9596500,1.59E+18,2020-07-15T14:41:06,1,1
ASHOKLEY,21-08-2020,NSE,EQ,EQ,sell,150,69,4317355,1.00E+15,2020-08-21T15:21:33,1,1
ASHOKLEY,20-04-2020,NSE,EQ,EQ,buy,20,49,759110,1.00E+15,2020-04-20T09:42:17,1,1
ASHOKLEY,17-07-2020,NSE,EQ,EQ,buy,25,50.7,761488,1.00E+15,2020-07-17T09:50:54,1,1
ASHOKLEY,02-02-2021,BSE,EQ,A,buy,94,129.85,1544400,1.61E+18,2021-02-02T09:20:35,1,1
ASHOKLEY,02-02-2021,BSE,EQ,A,buy,6,129.8,1544200,1.61E+18,2021-02-02T09:20:35,1,1
ASHOKLEY,01-06-2020,NSE,EQ,EQ,buy,20,43.85,1178,1.00E+15,2020-06-01T09:07:48,1,1
ASHOKLEY,27-01-2021,NSE,EQ,EQ,buy,10,112.15,1029135,1.00E+15,2021-01-27T09:47:07,1,1
ASHOKLEY,10-12-2020,BSE,EQ,A,buy,5,94.15,1307700,1.61E+18,2020-12-10T09:57:15,1,1
ASHOKLEY,09-10-2020,NSE,EQ,EQ,buy,50,75.7,2070028,1.00E+15,2020-10-09T11:54:48,1,1
ASHOKLEY,19-08-2020,NSE,EQ,EQ,buy,50,70.35,981233,1.00E+15,2020-08-19T09:57:12,1,1
ASHOKLEY,25-11-2020,NSE,EQ,EQ,buy,10,89.8,3954208,1.00E+15,2020-11-25T14:21:04,1,1
ASHOKLEY,20-11-2020,NSE,EQ,EQ,buy,30,90.45,3065700,1.00E+15,2020-11-20T13:09:51,1,1
ASHOKLEY,15-06-2020,NSE,EQ,EQ,buy,20,51.9,2144352,1.00E+15,2020-06-15T11:30:43,1,1
ASHOKLEY,21-10-2020,NSE,EQ,EQ,buy,100,75.85,816618,1.00E+15,2020-10-21T10:01:16,1,1
ASHOKLEY,27-10-2020,NSE,EQ,EQ,buy,28,79.45,2659196,1.02E+15,2020-10-27T12:50:51,1,1
ASHOKLEY,19-08-2020,NSE,EQ,EQ,buy,100,70.05,963155,1.00E+15,2020-08-19T09:56:06,1,1
ASHOKLEY,18-06-2020,BSE,EQ,A,buy,100,50.8,1079700,1.59E+18,2020-06-18T09:46:15,1,1
ASHOKLEY,19-08-2020,NSE,EQ,EQ,sell,345,69.9,935027,1.00E+15,2020-08-19T09:54:21,1,1
ASIANPAINT,03-02-2021,NSE,EQ,EQ,buy,2,2476.05,4247697,1.00E+15,2021-02-03T13:29:01,1,1
ASIANPAINT,12-11-2020,BSE,EQ,A,buy,3,2188.8,2391700,1.61E+18,2020-11-12T11:08:58,1,1
ASIANPAINT,25-11-2020,NSE,EQ,EQ,buy,1,2153,3965381,1.00E+15,2020-11-25T14:22:14,1,1
ASIANPAINT,27-10-2020,BSE,EQ,A,buy,1,2179.85,5402700,1.60E+18,2020-10-27T12:50:56,1,1
ASIANPAINT,21-10-2020,BSE,EQ,A,buy,10,2133,1228600,1.60E+18,2020-10-21T10:03:29,1,1
ASIANPAINT,27-01-2021,BSE,EQ,A,buy,1,2434.8,9088600,1.61E+18,2021-01-27T15:25:05,1,1
ASTEC,20-07-2020,BSE,EQ,B,sell,2,1018.5,554100,1.60E+18,2020-07-20T10:22:18,1,1
ASTEC,15-07-2020,BSE,EQ,B,buy,2,970,1206100,1.59E+18,2020-07-15T11:47:16,1,1
ASTEC,07-08-2020,BSE,EQ,B,sell,3,992,3029200,1.60E+18,2020-08-07T14:45:07,1,1
ASTEC,07-08-2020,BSE,EQ,B,buy,3,1002,626300,1.60E+18,2020-08-07T09:45:47,1,1
ASTERDM,27-07-2020,BSE,EQ,A,sell,30,127.3,1520600,1.60E+18,2020-07-27T09:49:15,1,1
ASTERDM,23-07-2020,BSE,EQ,A,buy,30,134,4335800,1.60E+18,2020-07-23T14:43:32,1,1
ASTRAMICRO,10-07-2020,BSE,EQ,B,buy,5,121.95,3150800,1.59E+18,2020-07-10T15:18:07,1,1
ASTRAMICRO,11-08-2020,BSE,EQ,B,buy,1,113.1,1919500,1.60E+18,2020-08-11T12:53:56,1,1
