Security_Code,Security_Id,Security_Name
533022,20MICRONS,20 Microns Limited
526921,21STCENMGM,21st Century Management Services Limited
532628,3IINFOTECH,3i Infotech Limited
523395,3MINDIA,3M India Limited
516092,3PLAND,3P Land Holdings Limited
540776,5PAISA,5Paisa Capital Limited
526881,63MOONS,63 moons technologies limited
533292,A2ZINFRA,A2Z Infra Engineering Limited
533292,AAKASH,Aakash Exploration Services Limited
533292,AARON,Aaron Industries Limited
524348,AARTIDRUGS,Aarti Drugs Limited
524208,AARTIIND,Aarti Industries Limited
543210,AARTISURF,Aarti Surfactants Limited
514274,AARVEEDEN,Aarvee Denims & Exports Limited
514274,AARVI,Aarvi Encon Limited
541988,AAVAS,Aavas Financiers Limited
523204,ABAN,Aban Offshore Limited
500002,ABB,ABB India Limited
500488,ABBOTINDIA,Abbott India Limited
540691,ABCAPITAL,Aditya Birla Capital Limited
535755,ABFRL,Aditya Birla Fashion and Retail Limited
535755,ABMINTLTD,ABM International Limited
500410,ACC,ACC Limited
532268,ACCELYA,Accelya Solutions India Limited
532268,ACCURACY,Accuracy Shipping Limited
532762,ACE,Action Construction Equipment Limited
524091,ACRYSIL,Acrysil Limited
512599,ADANIENT,Adani Enterprises Limited
541450,ADANIGREEN,Adani Green Energy Limited
532921,ADANIPORTS,Adani Ports and Special Economic Zone Limited
533096,ADANIPOWER,Adani Power Limited
539254,ADANITRANS,Adani Transmission Limited
519183,ADFFOODS,ADF Foods Limited
538365,ADHUNIKIND,Adhunik Industries Limited
543231,ADL,Archidply Decor Limited
517041,ADORWELD,Ador Welding Limited
532172,ADROITINFO,Adroit Infotech Limited
532875,ADSL,Allied Digital Services Limited
523269,ADVANIHOTR,Advani Hotels & Resorts (India) Limited
540025,ADVENZYMES,Advanced Enzyme Technologies Limited
540025,AEGISCHEM,Aegis Logistics Limited
542752,AFFLE,Affle (India) Limited
531921,AGARIND,Agarwal Industrial Corporation Limited
500463,AGCNET,AGC Networks Limited
537292,AGRITECH,Agri-Tech (India) Limited
537292,AGROPHOS,Agro Phos India Limited
537292,AHLADA,Ahlada Engineers Limited
533227,AHLEAST,Asian Hotels (East) Limited
532811,AHLUCONT,Ahluwalia Contracts (India) Limited
533221,AHLWEST,Asian Hotels (West) Limited
532683,AIAENG,AIA Engineering Limited
532683,AIRAN,Airan Limited
532331,AJANTPHARM,Ajanta Pharma Limited
513349,AJMERA,Ajmera Realty & Infra India Limited
513349,AKASH,Akash Infra-Projects Limited
513349,AKG,Akg Exim Limited
513349,AKSHARCHEM,AksharChem India Limited
532351,AKSHOPTFBR,Aksh Optifibre Limited
500710,AKZOINDIA,Akzo Nobel India Limited
531082,ALANKIT,Alankit Limited
531082,ALBERTDAVD,Albert David Limited
506235,ALEMBICLTD,Alembic Limited
531147,ALICON,Alicon Castalloy Limited
533029,ALKALI,Alkali Metals Limited
539523,ALKEM,Alkem Laboratories Limited
506767,ALKYLAMINE,Alkyl Amines Chemicals Limited
532749,ALLCARGO,Allcargo Logistics Limited
532633,ALLSEC,Allsec Technologies Limited
531400,ALMONDZ,Almondz Global Securities Limited
531400,ALOKINDS,Alok Industries Limited
532878,ALPA,Alpa Laboratories Limited
526397,ALPHAGEO,Alphageo (India) Limited
530715,ALPSINDUS,Alps Industries Limited
500008,AMARAJABAT,Amara Raja Batteries Limited
540902,AMBER,Amber Enterprises India Limited
531978,AMBIKCO,Ambika Cotton Mills Limited
500425,AMBUJACEM,Ambuja Cements Limited
532828,AMDIND,AMD Industries Limited
500343,AMJLAND,Amj Land Holdings Limited
590006,AMRUTANJAN,Amrutanjan Health Care Limited
515055,ANANTRAJ,Anant Raj Limited
532141,ANDHRACEMT,Andhra Cements Limited
502330,ANDHRAPAP,ANDHRA PAPER LIMITED
590062,ANDHRSUGAR,The Andhra Sugars Limited
543235,ANGELBRKG,Angel Broking Limited
519383,ANIKINDS,Anik Industries Limited
532870,ANKITMETAL,Ankit Metal & Power Limited
500013,ANSALAPI,Ansal Properties & Infrastructure Limited
507828,ANSALHSG,Ansal Housing Limited
542460,ANUP,The Anup Engineering Limited
532259,APARINDS,Apar Industries Limited
518091,APCL,Anjani Portland Cement Limited
523694,APCOTEXIND,Apcotex Industries Limited
540692,APEX,Apex Frozen Foods Limited
533758,APLAPOLLO,APL Apollo Tubes Limited
533573,APLLTD,Alembic Pharmaceuticals Limited
540879,APOLLO,Apollo Micro Systems Limited
508869,APOLLOHOSP,Apollo Hospitals Enterprise Limited
508869,APOLLOPIPE,Apollo Pipes Limited
500877,APOLLOTYRE,Apollo Tyres Limited
500877,APOLSINHOT,Apollo Sindoori Hotels Limited
532475,APTECHT,Aptech Limited
532994,ARCHIDPLY,Archidply Industries Limited
532212,ARCHIES,Archies Limited
526662,ARENTERP,Rajdarshan Industries Limited
532935,ARIES,Aries Agro Limited
