id,Security_Code,Security_Id,Security_Name
1,531335,ZYDUSWELL,ZYDUS WELLNESS
2,500780,ZUARIGLOB,ZUARI GLOBAL
3,534742,ZUARI,ZUARI AGRO CHEMICALS
4,512587,ZODJRDMKJ,ZODIACJRDMKJ
5,503641,ZODIACVEN,Zodiac Ventures 
6,521163,ZODIACLOTH,ZODIAC CLOTHING CO
7,541400,ZIMLAB,Zim Laboratories 
8,531404,ZICOM,ZICOM ELECTRONIC SECURITY SYSTEMS
9,505163,ZFSTEERING,ZFSTEERING GEAR INDIA
10,504067,ZENSARTECH,ZENSAR TECHNOLOGIES
11,532039,ZENOTECH,ZENOTECH LABORATORIES
12,530697,ZENLABS,Zenlabs Ethica 
13,531845,ZENITHSTL,Zenith Steel Pipes Industries 
14,530665,ZENITHHE,ZENITH HEALTH CARE
15,514266,ZENIFIB,ZENITH FIBRES
16,512553,ZENITHEXPO,ZENITH EXPORTS
17,533339,ZENTEC,ZEN TECHNOLOGIES
18,532794,ZEEMEDIA,Zee Media Corporation 
19,533287,ZEELEARN,ZEE LEARN
20,505537,ZEEL,ZEE ENTERTAINMENT ENTERPRISES
21,539963,ZEAL,Zeal Aqua 
22,536846,YURANUS,Yuranus Infrastructure 
23,522108,YUKEN,YUKEN INDIA
24,540550,YUG,Yug Decor 
25,530675,YORKEXP,YORK EXPORTS
26,522209,YOGISUNG,YOGI SUNGWON INDIA
27,532648,YESBANK,YES BANK
28,530063,YASHRAJC,YASHRAJ CONTAINEURS
29,541167,YASHO,Yasho Industries 
30,512345,YASTF,YASH TRADING FINANCE
31,516030,YASHPAKKA,Yash Pakka 
32,511601,YASHMGM,YASH MANAGEMENT SATELLITE
33,539939,YASHCHEM,Yash Chemex 
34,514378,YARNSYN,YARN SYNDICATE
35,511012,YAMNINV,YAMINI INVESTMENTS COMPANY
36,533520,YAARII,Yaarii Digital Integrated Services 
37,531225,XTGLOBAL,Xtglobal Infotech 
38,590013,XPROINDIA,XPRO INDIA
39,542367,XELPMOC,Xelpmoc Design and Tech 
40,532616,XCHANGING,XCHANGING SOLUTIONS
41,504220,WSIND,WSINDUSTRIES INDIA
42,505872,WPIL,WPIL
43,538451,WORTH,Worth Investment Trading Co 
44,526525,WWALUM,Worldwide Aluminium 
45,526959,WOODSVILA,WOODSVILLA
46,538268,WONDERLA,Wonderla Holidays 
47,531396,WOMENNET,WOMEN NETWORKS
48,532300,WOCKPHARMA,WOCKHARDT
49,507817,WIREFABR,WIRES FABRIKS SA
50,507685,WIPRO,WIPRO
51,514470,WINSOMTX,WINSOME TEXTILE INDUSTRIES
52,526471,WINSOMBR,WINSOME BREWERIES
53,512022,WINROC,WINRO COMMERCIAL INDIA
54,522029,WINDMACHIN,WINDSOR MACHINES
55,526586,WIMPLAST,WIM PLAST
56,519224,WILLAMAGOR,WILLIAMSON MAGOR COMPANY
57,519214,WILLIMFI,WILLIAMSON FINANCIAL SERVICES
58,542667,WORL,White Organic Retail 
59,513713,WHITEORG,White Organic Agro 
60,500238,WHIRLPOOL,WHIRLPOOL OF INDIA
61,590073,WHEELS,WHEELS INDIA
62,501391,WHBRADY,WHBRADY CO
63,505533,WESTLIFE,WESTLIFE DEVELOPMENT
64,504998,WMINIMT,WESTERN MINISTIL
65,538382,WESTLEIRES,West Leisure Resorts 
66,500444,WSTCSTPAPR,WEST COAST PAPER MILLS
67,532373,WEPSOLN,WEP SOLUTIONS
68,505412,WENDT,WENDT INDIA
69,526431,WELTI,WELTERMAN INTERNATIONAL
70,500365,WELSPLSOL,Welspun Specialty Solutions 
71,533252,WELINV,WELSPUN INVESTMENTS AND COMMERCIALS
72,514162,WELSPUNIND,WELSPUN INDIA
73,532553,WELENT,Welspun Enterprises 
74,532144,WELCORP,Welspun Corp 
75,531211,WELLNESS,WELLNESS NONI
76,532016,WELLESLEY,WELLESLEY CORPORATION
77,504988,ZWELCAST,WELCAST STEELS
78,511074,WEIZFIN,WEIZMANN FINCORP
79,523011,WEIZMANIND,WEIZMANN
80,517498,WEBELSOLAR,WEBSOL ENERGY SYSTEM
81,780016,WEBSL,Web Element Solutions 
82,523660,WATERBASE,WATERBASE
83,508494,WARRENTEA,WARREN TEA
84,538970,WARDINMOBI,Wardwizard Innovations Mobility 
85,524212,WANBURY,WANBURY
86,532053,WALLFORT,WALLFORT FINANCIAL SERVICES
87,511147,WSFIN,WALL STREET FINANCE
88,507410,WALCHANNAG,WALCHANDNAGAR INDUSTRIES
89,501370,WALCHPF,WALCHAND PEOPLEFIRST
90,503675,WAGEND,Wagend Infra Venture 
91,533023,WABCOINDIA,WABCO INDIA
92,539337,WAAREE,Waaree Technologies 
93,541445,WAA,Waa Solar 
94,505583,WWTECHHOL,W W TECHNOLOGY HOLDINGS
95,517399,VXLINSTR,VXL INSTRUMENTS
96,532893,VTMLTD,VTM
97,531266,VSTTILLERS,VSTTILLERS TRACTORS
98,509966,VSTIND,VST INDUSTRIES
99,519331,VSFPROJ,VSF PROJECTS
100,539118,VRLLOG,VRL Logistics 
101,500575,VOLTAS,VOLTAS
102,532757,VOLTAMP,VOLTAMP TRANSFORMERS
103,509038,VOLLF,VOLTAIRE LEASING FINANCE
104,522122,VOITHPAPR,VOITH PAPER FABRICS INDIA
105,532822,IDEA,Vodafone Idea 
106,539222,VMV,VMV Holidays 
107,533427,VMS,VMS INDUSTRIES
108,534976,VMART,VMART RETAIL
109,511333,VLSFINANCE,VLS FINANCE
110,509026,VJTFEDU,VJTF EDUSERVICES
111,511509,VIVOBIOT,VIVO BIO TECH
112,532660,VIVIMEDLAB,VIVIMED LABS
113,542046,VIVIDM,Vivid Mercantile 
114,524576,VIVIDIND,VIVID GLOBAL INDUSTRIES
115,530057,VIVANZA,Vivanza Biosciences 
116,541735,VIVANTA,Vivanta Industries 
117,540823,VITESSE,Vitesse Agro 
118,538565,VISTARAMAR,Vistar Amar 
119,524711,VISTAPH,VISTA PHARMACEUTICALS
120,531668,VISIONCO,VISION CORPORATION
121,526441,VISIONCINE,VISION CINEMAS
122,542852,VISHWARAJ,Vishwaraj Sugar Industries 
123,512064,VISVEN,Vishvprabha Ventures 
124,516072,VISHNU,VISHNU CHEMICALS
125,538598,VISHAL,Vishal Fabrics 
126,539398,VISHALBL,Vishal Bearings 
127,540097,VISCO,Visco Trade Associates 
128,509055,VISAKAIND,VISAKA INDUSTRIES
129,506146,VIVIDHA,VISAGAR POLYTEX
130,531025,VISAGAR,VISAGAR FINANCIAL SERVICES
131,532721,VISASTEEL,VISA STEEL
132,531126,VIRTUALS,VIRTUALSOFT SYSTEMS
133,532372,VIRINCHI,Virinchi 
134,530521,VIRAT,VIRAT INDUSTRIES
135,519457,VIRATCRA,VIRAT CRANE INDUSTRIES
136,530627,VIPULORG,Vipul Organics 
137,511726,VIPUL,VIPUL
