id,Date,Open,High,Low,Close,AdjClose,Volume,name
1,2018-10-08,6600.189941,6675.060059,6576.040039,6652.22998,6652.22998,3979460000,bitcoin
2,2018-10-09,6653.080078,6661.410156,6606.939941,6642.640137,6642.640137,3580810000,bitcoin
3,2018-10-10,6640.290039,6640.290039,6538.959961,6585.529785,6585.529785,3787650000,bitcoin
4,2018-10-11,6586.740234,6586.740234,6243.740234,6256.240234,6256.240234,5181640000,bitcoin
5,2018-10-12,6239.25,6328.5,6236.470215,6274.580078,6274.580078,3783500000,bitcoin
6,2018-10-13,6278.080078,6308.509766,6259.810059,6285.990234,6285.990234,3064030000,bitcoin
7,2018-10-14,6288.490234,6363.209961,6280.149902,6290.930176,6290.930176,3085320000,bitcoin
8,2018-10-15,6292.640137,6965.060059,6258.680176,6596.540039,6596.540039,7370770000,bitcoin
9,2018-10-16,6601.410156,6673.589844,6571.370117,6596.109863,6596.109863,4074800000,bitcoin
10,2018-10-17,6590.52002,6601.209961,6517.450195,6544.430176,6544.430176,4088420000,bitcoin
11,2018-10-18,6542.330078,6567.540039,6450.040039,6476.709961,6476.709961,3924080000,bitcoin
12,2018-10-19,6478.069824,6493.680176,6445.310059,6465.410156,6465.410156,3578870000,bitcoin
13,2018-10-20,6460.919922,6497.720215,6449,6489.189941,6489.189941,3379130000,bitcoin
14,2018-10-21,6490.089844,6556.379883,6476,6482.350098,6482.350098,3253610000,bitcoin
15,2018-10-22,6486.049805,6543.799805,6462.97998,6487.160156,6487.160156,3672860000,bitcoin
16,2018-10-23,6472.359863,6506.009766,6451.27002,6475.740234,6475.740234,3716150000,bitcoin
17,2018-10-24,6478.890137,6521.990234,6468.859863,6495.839844,6495.839844,3424670000,bitcoin
18,2018-10-25,6484.649902,6504.649902,6447.029785,6476.290039,6476.290039,3230550000,bitcoin
19,2018-10-26,6468.439941,6498.290039,6449.609863,6474.75,6474.75,3306050000,bitcoin
20,2018-10-27,6480.839844,6507.410156,6453.529785,6480.379883,6480.379883,3393250000,bitcoin
21,2018-10-28,6482.660156,6502.279785,6447.910156,6486.390137,6486.390137,3445190000,bitcoin
22,2018-10-29,6492.350098,6503.600098,6306.990234,6332.629883,6332.629883,4199910000,bitcoin
23,2018-10-30,6337.040039,6364.990234,6310.140137,6334.27002,6334.27002,3781100000,bitcoin
24,2018-10-31,6336.990234,6349.160156,6316.879883,6317.609863,6317.609863,4191240000,bitcoin
25,2018-11-01,6318.140137,6547.140137,6311.830078,6377.779785,6377.779785,3789400000,bitcoin
26,2018-11-02,6378.919922,6396.859863,6327.379883,6388.439941,6388.439941,4234870000,bitcoin
27,2018-11-03,6387.240234,6400.069824,6342.370117,6361.259766,6361.259766,3658640000,bitcoin
28,2018-11-04,6365.470215,6388.629883,6294.569824,6376.129883,6376.129883,4390020000,bitcoin
29,2018-11-05,6363.620117,6480.589844,6363.620117,6419.660156,6419.660156,4174800000,bitcoin
30,2018-11-06,6433.379883,6463.549805,6408.160156,6461.009766,6461.009766,4700040000,bitcoin
31,2018-11-07,6468.5,6552.160156,6468.310059,6530.140137,6530.140137,4941260000,bitcoin
32,2018-11-08,6522.27002,6536.919922,6438.529785,6453.720215,6453.720215,4665260000,bitcoin
33,2018-11-09,6442.600098,6456.459961,6373.370117,6385.620117,6385.620117,4346820000,bitcoin
34,2018-11-10,6386.129883,6437.279785,6385.310059,6409.220215,6409.220215,3705320000,bitcoin
35,2018-11-11,6413.629883,6423.25,6350.169922,6411.27002,6411.27002,3939060000,bitcoin
36,2018-11-12,6411.759766,6434.209961,6360.470215,6371.27002,6371.27002,4295770000,bitcoin
37,2018-11-13,6373.189941,6395.27002,6342.669922,6359.490234,6359.490234,4503800000,bitcoin
